,file,speech
1531,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute the speaker is there objection to the request of the gentleman from north carolina there was no objection mr kerr mr speaker i noticed in yesterdays washington post that a very o11tstanding honor has been accorded our beloved and able colleague hon karl stefan he has been awarded the philippine military merit medal from the commissioner of the commonwealth government representing president sergio osmefia of course i am not familiar with the services our distinguished colleague did in respect to his contact with the philip pine constabulary when he resided in those islands but i assert unhesitat ingly that what he did then and there after during the recent war was a great service to these islands and to the united states and yas occasioned by a heart attuned to the heartbeats of humanity and his love for his fellow man karl stefan never did a bad job and never will he has become one of the outstanding men of this house because of his accurate knowledge of the prob lems of the nation hin wisdom and his personality this house is proud of his achievement and extends to him its warmest congratulations alliance of isolationists and provincialists mr bailey mr speaker i ask unanimous consent to address the house for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from west virginia there was no objection mr bailey mr speaker i have here a clipping from the front page of sundays washington post this news release tells an already politically con fused nation that the temporary alliance of the isolationists and the provincial ists that has already sabotaged most of president trumans liberal legislative program is to be made a permanent house organization one of the major activities of this group at present is shedding crocodile tears over the lack of a balanced na tional budget a budget that has been out of balance ever since former presi dent hoover failed to make good on his promise to banish all poorhquses and to have a car in every garage and two chickens in every pot the legislative program for this week includes an appropriation rescission bill i make bold to suggest that the house military affairs committee should be on guard to see that these economic roy alists do not cover into the treasury the funds now available to maintain an aroundtheclock armedguard vigil at the tomb of the unknown soldier extension of remarks mr celler asked and was given per mission to extend his remarks in the record in two instances special order granted mr celler mr speaker i ask unanimous consent that on wednesday following the legislative program of the day and any special orders heretofore entered i mav address the house for 20 minutes on the subject of the british loan the speaker is there objection to the request of the gentleman from new york there was no objection hon hatton w
1532,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from west virginia there was no objection mr bailey mr speaker i have here a clipping from the front page of sundays washington post this news release tells an already politically con fused nation that the temporary alliance of the isolationists and the provincial ists that has already sabotaged most of president trumans liberal legislative program is to be made a permanent house organization one of the major activities of this group at present is shedding crocodile tears over the lack of a balanced na tional budget a budget that has been out of balance ever since former presi dent hoover failed to make good on his promise to banish all poorhquses and to have a car in every garage and two chickens in every pot the legislative program for this week includes an appropriation rescission bill i make bold to suggest that the house military affairs committee should be on guard to see that these economic roy alists do not cover into the treasury the funds now available to maintain an aroundtheclock armedguard vigil at the tomb of the unknown soldier extension of remarks mr celler asked and was given per mission to extend his remarks in the record in two instances special order granted mr celler mr speaker i ask unanimous consent that on wednesday following the legislative program of the day and any special orders heretofore entered i mav address the house for 20 minutes on the subject of the british loan the speaker is there objection to the request of the gentleman from new york there was no objection hon hatton w sumners hon fritz g lanham and hon sam m rus sell mr slaughter mr speaker i ask unanimous consent to address the house for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from mis souri there was no objection mr slaughter mr speaker as a member of the house of representa tives i know of no news dispatch that has concerned me like the one i read yesterday i refer to the announcement that the gentleman from texas mr sumners the gentleman from texas mr lanham and the gentleman from texas mr russell are about to re tire from this body i hope that these announcements are premature and that those gentlemen will stop and recon sider the texas delegation is a strong delegation in this house next to the speaker himself i submit there are no three members of the house who enjoy the esteem of this body as do these three experienced men i sincerely trust they will reconsider while we can under stand their desire to throw ofi their bur dens we hope that they will postpone their retirement in order that the house and the country may have the benefit of their experience in the difficult days
1533,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from mis souri there was no objection mr slaughter mr speaker as a member of the house of representa tives i know of no news dispatch that has concerned me like the one i read yesterday i refer to the announcement that the gentleman from texas mr sumners the gentleman from texas mr lanham and the gentleman from texas mr russell are about to re tire from this body i hope that these announcements are premature and that those gentlemen will stop and recon sider the texas delegation is a strong delegation in this house next to the speaker himself i submit there are no three members of the house who enjoy the esteem of this body as do these three experienced men i sincerely trust they will reconsider while we can under stand their desire to throw ofi their bur dens we hope that they will postpone their retirement in order that the house and the country may have the benefit of their experience in the difficult days ahead extension of remarks mr sumners of texas asked and was given permission to extend his remarks in the record and include a speech re cently made by him the late lt col harold mcgugin mr winter mr speaker i ask unanimous consent to address the house for 1 minute and to revise and extend my remarks is there objection to the gentleman from the speaker the request of kansas there was no objection mr winter mr speaker it is my sad duty to announce to the house of representatives the death of lt col harold mcgugin of coffeyville kans a former member of this body colonel mcgugin died march 8 1946 at an army hospital in hot springs ark at the age of 52 from a serviceconnected disabil ity contracted in the european theater of operations colonel mcgugin most ably repre sented the third congressional district of kansas in congress from 1931 to 1935 during his service in the congress colo nel mcgugin made many friends and by his untiring work and ability as an ora tor brought nationwide recognition to himself and high honor to his district and state colonel mcgugin was steadfast in his course as he saw his duty he could not be perplexed or frightened he was very seldom outclassed in capacity and never in courage his concept of his duty as a public servant his devotion to his coun try as a soldier his convictions as to the requirements of good citizenship were his guiding lights in his private life and in his public career both as a statesman and a soldier colonel mcgugin has left to his loved ones his state and to the nation a noble heritage of honor and glory upon the altar of public service mr pittenger mr speker will the gentleman yield i yield mr winter mr pittenger i
1534,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute and to revise and extend my remarks is there objection to the gentleman from the speaker the request of kansas there was no objection mr winter mr speaker it is my sad duty to announce to the house of representatives the death of lt col harold mcgugin of coffeyville kans a former member of this body colonel mcgugin died march 8 1946 at an army hospital in hot springs ark at the age of 52 from a serviceconnected disabil ity contracted in the european theater of operations colonel mcgugin most ably repre sented the third congressional district of kansas in congress from 1931 to 1935 during his service in the congress colo nel mcgugin made many friends and by his untiring work and ability as an ora tor brought nationwide recognition to himself and high honor to his district and state colonel mcgugin was steadfast in his course as he saw his duty he could not be perplexed or frightened he was very seldom outclassed in capacity and never in courage his concept of his duty as a public servant his devotion to his coun try as a soldier his convictions as to the requirements of good citizenship were his guiding lights in his private life and in his public career both as a statesman and a soldier colonel mcgugin has left to his loved ones his state and to the nation a noble heritage of honor and glory upon the altar of public service mr pittenger mr speker will the gentleman yield i yield mr winter mr pittenger i wish to say to the gentleman from kansas that it was my privilege to serve with harold mc gugin when he was a member of the house of representatives i join with the distinguished gentleman from k ansas and the distinguihed gentleman from congressional recordhouse 2095 1946 mississippi in paying tribute to an ag gressive fine member of this house to a patriotic american to a man who rep resented his state with honor and dis tinction in this body and i join thetn in these expressions of sympathy to his family and give voice to the thought that the nation has lost a great and a valu able man mr scrivner mr speaker will the gentleman yield mr winter i yield mr scrivner mr speaker lieu tenant colonel mcgugin was called upon to answer the last roll call altogether too soon he served gloriously in both world war i and world war ii as he served in war so he served his govern ment state d nation in peace as an outstanding american citizen mr carlson mr speaker will the i yield gentleman yield mr winter mr carlson mr speaker in the passing of col haroid mcgugin i lost one of my personal friends our state and nation lost the services of a man who was a veteran with honorable serv ice in two wars he was lso a fighting civilian there were some who may
1535,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute and to revise and extend my remarks and in elude a letter dated march 11 1946 from the fiscal service of the treasury depart ment the speaker the request of illinois is there objection to the gentleman from there was no objection mr mcmillen of illinois addressed the house his remarks appear in the appendix mr mason mr speaker i ask unanimous consent to address the house for 1 minute to revise and extend my remarks and include an editorial the speaker is there objection to the request of the gentleman from illinois there was no objection mr mason addressed the house his remarks appear in the appendix j extension of remarks mr arends asked and was given per mission to extend his remarks in the record and include an editorial from the christian century magazine under date of march 6 1946 mr lewis asked and was given per mission to extend his remarls in the record and include a newspaper edi torial mr hess asked and was g1ven per mission to ectend his remarks in the record and include two letters mr ellis asked and was given per mission to extend his remarks in the record and include an editorial mr angell asked and was given permission to extend his remarks in the record and include an article entitled forest products research by paul m dunn mr jonkman asked and was given permission to extend his remarks in the record and include an article by george e sokolsky reds in united states jobs mr rich mr speaker i ask unani mous consent to address the house for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from penn sylvania there was no objection mr rich mr speaker i want to call attention to the headlines of an article which appears in this mornings wash ington post entitled two thousand reds hold united states jobs priest as serts this article goes on to say catholic official says public inquiry would shake nation communists have penetrated so deeply into federal government departments that a public investigation of the situation would shake the nation a national catholic welfare council official charged yesterday rev john g cronin assistant diector of the social action department of ncwc said that some 2000 active communists now hold federal jobs in washington mr speaker i should like to call_this article to the attention of the committee on onamerican activities i suppose the members of that committee already know about it but it wants t heir thor ough investigation 2096 congressional recordhouse march 11 they would clean mr speaker there is more to what this man of the cloth says than the peo ple of this country realize if the people of this country knew what was happen ing in our government and where these communists have their men placed in every branch of the federal govern them out ment really we have i
1536,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute to revise and extend my remarks and include an editorial the speaker is there objection to the request of the gentleman from illinois there was no objection mr mason addressed the house his remarks appear in the appendix j extension of remarks mr arends asked and was given per mission to extend his remarks in the record and include an editorial from the christian century magazine under date of march 6 1946 mr lewis asked and was given per mission to extend his remarls in the record and include a newspaper edi torial mr hess asked and was g1ven per mission to ectend his remarks in the record and include two letters mr ellis asked and was given per mission to extend his remarks in the record and include an editorial mr angell asked and was given permission to extend his remarks in the record and include an article entitled forest products research by paul m dunn mr jonkman asked and was given permission to extend his remarks in the record and include an article by george e sokolsky reds in united states jobs mr rich mr speaker i ask unani mous consent to address the house for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from penn sylvania there was no objection mr rich mr speaker i want to call attention to the headlines of an article which appears in this mornings wash ington post entitled two thousand reds hold united states jobs priest as serts this article goes on to say catholic official says public inquiry would shake nation communists have penetrated so deeply into federal government departments that a public investigation of the situation would shake the nation a national catholic welfare council official charged yesterday rev john g cronin assistant diector of the social action department of ncwc said that some 2000 active communists now hold federal jobs in washington mr speaker i should like to call_this article to the attention of the committee on onamerican activities i suppose the members of that committee already know about it but it wants t heir thor ough investigation 2096 congressional recordhouse march 11 they would clean mr speaker there is more to what this man of the cloth says than the peo ple of this country realize if the people of this country knew what was happen ing in our government and where these communists have their men placed in every branch of the federal govern them out ment really we have i believe more foreigners in our departments and more socalled americans who could overthrow our form of government than the people have any idea of it is a shame and it is really a crime that you do not rout them out fire them send them out of our country why the president and cabinet keep them on the job is beyond me our state department is infested with communists and
1537,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from penn sylvania there was no objection mr rich mr speaker i want to call attention to the headlines of an article which appears in this mornings wash ington post entitled two thousand reds hold united states jobs priest as serts this article goes on to say catholic official says public inquiry would shake nation communists have penetrated so deeply into federal government departments that a public investigation of the situation would shake the nation a national catholic welfare council official charged yesterday rev john g cronin assistant diector of the social action department of ncwc said that some 2000 active communists now hold federal jobs in washington mr speaker i should like to call_this article to the attention of the committee on onamerican activities i suppose the members of that committee already know about it but it wants t heir thor ough investigation 2096 congressional recordhouse march 11 they would clean mr speaker there is more to what this man of the cloth says than the peo ple of this country realize if the people of this country knew what was happen ing in our government and where these communists have their men placed in every branch of the federal govern them out ment really we have i believe more foreigners in our departments and more socalled americans who could overthrow our form of government than the people have any idea of it is a shame and it is really a crime that you do not rout them out fire them send them out of our country why the president and cabinet keep them on the job is beyond me our state department is infested with communists and the secretary of state permits them to remain 0 america wake up before it is too late the speaker the time of the gen tleman from pennsylvania has expired discrimination against the wheat farmer by government agencies mr rees of kansas mr speaker i ask unanimous consent to address the house for 1 minute the speaker is there objection to the gentleman from the request of kansas there was no objection mr rees of kansas mr speaker i call attention of the house to what ire gard as very unfair treatment by the de partment of agriculture to farmers of the middle west who secured commodity their wheat commodity loans on credit corporation loans on wheat are due april 30 1946 on february 15 the corporation exercised its option to call their loans on demand and thereby de manded payment or delivery of the wheat on or before march 1 1946 this order covered all wheat under loan in the kansas city and chicago area on march 4 just 3 days after the wheat had been delivered or sold the office of price administration increased the ceil ing on the wheat price 3 cents per bushel this action on the
1538,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute the speaker is there objection to the gentleman from the request of kansas there was no objection mr rees of kansas mr speaker i call attention of the house to what ire gard as very unfair treatment by the de partment of agriculture to farmers of the middle west who secured commodity their wheat commodity loans on credit corporation loans on wheat are due april 30 1946 on february 15 the corporation exercised its option to call their loans on demand and thereby de manded payment or delivery of the wheat on or before march 1 1946 this order covered all wheat under loan in the kansas city and chicago area on march 4 just 3 days after the wheat had been delivered or sold the office of price administration increased the ceil ing on the wheat price 3 cents per bushel this action on the part of our govern ment agencies is difficult to explain to take advantage of farmers in the middle west by requiring the wheat to be sold before the increase of price was allowed is manifestly unfair and inexcusable the farmers who raised the wheat were certainly entitled to any rise in price that might be granted instead of per mitting someone else to have the benefit of it this looks like another case of the failure on the part of one department of government to coordinate with the other in other words it is a further example of government service where the left hand does not know what the right hand is doing the speaker the time of the gen tleman from kansas has expired extension of remarks mr pittenger asked and was given permission to extend his remarks in the record and include a newspaper item mr stevenson asked and was given permission to extend his remarks in the record and include an editorial appear ing in the milwaukee sentinel entitled postal pay is inadequate mr bishop asked and was given per mission to extend lis remarks in the record and include a summary of public law 346 seventyeighth congress known as the gi bill of rights mr schwabe of oklahoma asked and was given permission to extend his remarks in the record in two instances and to include in each a letter from a constituent mr crawford asked and was given permission to extend his remarks in the record in two instances to include in one an editorial on the british loan and in the other a statement on russian production of cotton mrs luce at the request of mr martin of massachusetts was given per mission to extend her remarks in the record and include excerpts mr gibson asked and was given per mission to extend his remarks in the record and include a poem in memory a_nd honor of the late president frank lin d roosevelt mr price of illinois asked and was given permission to extend his remarks in the record in two instances and in
1539,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute the speaker is there objection to the request of the gentleman from ten nessee there was no objection mr priest mr speaker a number of members of the house have indicated in personal conversation a desire to be heard when hearings were held on the hospital bills 191 those hearings are now being held by the public health sub committee and have been under way for a few days and will continue perhaps through thursday of this week begin ning each morning at 10 cclock in the interstate and foreign commerce com mittee room all members who desire to appear before the subcommittee are wel come third party mr gallaghej mr speaker i ask unanimous consent to address the house for 1 minute the speaker is there objection to the request of the gentleman from min nesota there was no objection mr gallagher mr speaker there has been a continual effort to advertise a certain political party in this house i am opposed to that party but i never mention itsname this is an independ ent party and votes by itself but it is given a million dollars worth of adver tising every week on this floor i believe that the democrats and republicans would welcome such an effort to take care of their advertising as the house adver tises this third party the late jo joseph cardinal glennon mr cochran mr speaker i ask unanimous consent to address the house for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from mis souri there was no objection mr cochran mr speaker john josepp cardinal glennon died in ireland a few miles from the place of his birth on saturday morning for 43 years the 83yearold prince of the catholic church had been arch bishop of the city of st louis his re mains will be flown from ireland to st louis and he will be buried in the new st louis cathedral which was erected under his supervision cardinal glennon was on his way home from rome where he had been installed on february 21 as a member of the sacred college had he not been taken ill during the ceremonies in rome he would have been in st louis now re ceiving the congratulations of people from all walks of life regardless of creed my city is griefstricken at the great loss it has sustained cardinal glennon entereci the priest hood 61 years ago he was appointed a bishop 50 years ago and had been an archibishop of st louis for the last 43 years it was cardinal glennon who was responsible for the tremendous exten sion of the catholic church as well as its educational facilities in st louis there was no city in the country where catholic charitable activities were better organized this under his direction the expressions of grief at the death of cardinal glemion came from all over the world
1540,GPO-CRECB-1946-pt2-15-1.pdf,for 1 minute the speaker is there objection to the request of the gentleman from min nesota there was no objection mr gallagher mr speaker there has been a continual effort to advertise a certain political party in this house i am opposed to that party but i never mention itsname this is an independ ent party and votes by itself but it is given a million dollars worth of adver tising every week on this floor i believe that the democrats and republicans would welcome such an effort to take care of their advertising as the house adver tises this third party the late jo joseph cardinal glennon mr cochran mr speaker i ask unanimous consent to address the house for 1 minute and to revise and extend my remarks the speaker is there objection to the request of the gentleman from mis souri there was no objection mr cochran mr speaker john josepp cardinal glennon died in ireland a few miles from the place of his birth on saturday morning for 43 years the 83yearold prince of the catholic church had been arch bishop of the city of st louis his re mains will be flown from ireland to st louis and he will be buried in the new st louis cathedral which was erected under his supervision cardinal glennon was on his way home from rome where he had been installed on february 21 as a member of the sacred college had he not been taken ill during the ceremonies in rome he would have been in st louis now re ceiving the congratulations of people from all walks of life regardless of creed my city is griefstricken at the great loss it has sustained cardinal glennon entereci the priest hood 61 years ago he was appointed a bishop 50 years ago and had been an archibishop of st louis for the last 43 years it was cardinal glennon who was responsible for the tremendous exten sion of the catholic church as well as its educational facilities in st louis there was no city in the country where catholic charitable activities were better organized this under his direction the expressions of grief at the death of cardinal glemion came from all over the world including the pope auxili ary bishop george jdonnelly who has 1946 congressional recordhouse 2097 temporarily assumed the duties of the cardinal expressed himself as follows in the death of john cardinal glennon i have lost for the present the companion ship of a superior who has been to me the past 23 years also a friend who was kind ness itself a counsellor of gentle fatherly interest and unlimited experience and a benefactor whose generosity knew no bounds for the archdiocese_lle has been these 43 years the faithful shepherd tireless in the care of the sheep intrusted to him by the good shepherd himself like him he has spent his life for his sheep holy mother church is now deprived of the services
